NCT_ID,Title,BriefSummary,Phase,RecruitmentStatus,Condition,MinimumAge,MaximumAge,Sex
NCT07218601,Electronic Nose (E-nose) Technology to Assess Pathologic Response and Post- Treatment Progression for Non-small Cell Lung Cancer: a Phase II Study,"The researchers are doing this study to test the ability of a new technology called breathprinting, or electronic nose (E-Nose), to measure changes in certain chemicals in the breath before and after standard neoadjuvant therapy in people with NSCLC.",PHASE2,RECRUITING,Non-Small Cell Lung Cancer,18 Years,,ALL
NCT04591002,"A Phase II, Study of Osimertinib to Suppress the Progression of Remaining Ground-glass Opacity Nodule (GGN) in Other Lobes After Curative Resection for Actionable EGFR Mutation-positive Stage IB-IIIA Lung Adenocarcinoma","This study designed to assess the efficacy of osimertinib (80 mg, orally, once daily) to suppress the progression of remaining GGN(s) in other lobes following surgical resection for actionable EGFR mutation-positive stage I lung adenocarcinoma.",PHASE2,RECRUITING,Lung Cancer,30 Years,75 Years,ALL
NCT05295212,"A Prospective, Multicenter Phase II Clinical Study of Atezolizumab Combined With Platinum-based Chemotherapy as Neoadjuvant Therapy for Patients With Resectable Stage II-IIIB Driver Gene-negative Non-small Cell Lung Cancer (NSCLC)","This study aimed to evaluate the efficacy, safety, tolerability, feasibility of surgery, and incidence of preoperative and postoperative complications of atezolizumab in combination with platinum-based chemotherapy with resectable stage II-IIIB non-small cell lung cancer.",PHASE2,RECRUITING,Non Small Cell Lung Cancer,18 Years,,ALL
NCT06868849,"A Phase Ia/II, Multicenter Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Efficacy of JMT203 in Patients With Cancer Cachexia","A Phase Ia/II, Multicenter Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Efficacy of JMT203 in Patients with Cancer Cachexia",PHASE1; PHASE2,RECRUITING,Non Small Cell Lung Cancer; Pancreatic Cancer; Cancer Cachexia; Colorectal Cancer Cachexia; Pancreatic Cancer Cachexia,18 Years,,ALL
NCT06355609,"A Perspective Observation Phase II, Single-Arm Study Evaluating the 1st Line Efficacy and Safety of Sunvozertinib Plus Anlotinib in EGFR-Sensitive Mutations Combined With Co-Mutations Locally Advanced or Metastatic NSCLC","This is a phase II, open-label, single-arm, single-center clinical study to evaluate the preliminary efficacy of sunvozertinib in combination with anlotinib in patients with EGFR-sensitive mutations and co-mutations in locally advanced or metastatic treatment-naive non-small cell lung cancer.",PHASE2,RECRUITING,Non-small Cell Lung Cancer,18 Years,,ALL
